id;nom_structure;adresse;email;deleted
1;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Berta_Tremblay@hotmail.com;true
2;TCP parsing Networked;feed;Tobin_Raynor@hotmail.com;true
3;stable override;Director;Hermina_Dooley@hotmail.com;false
4;Metal Auto Loan Account;Awesome;Carey.Waters@yahoo.com;true
5;Fantastic Plastic Table Rubber;Yemen;Enid.Paucek25@gmail.com;false
6;Shoes Rubber Mall;users scalable;Rowena_Simonis40@hotmail.com;false
7;matrix Implementation Shirt;Mobility;Kiley_Beahan13@hotmail.com;true
8;override back-end hacking;open-source;Lorena.Lebsack31@yahoo.com;true
9;whiteboard indexing;interface Central;Elisha.Lind50@yahoo.com;true
10;customized;synthesize Bahrain;Daphne.Mueller@hotmail.com;false
