id;nom;prenom;telephone;email;direction_id;deleted
1;mobile Fish;Home Loan Account Table Computer;(483) 617-6009;Riley0@hotmail.com;18182;true
2;Money Market Account;Albania web-readiness;(563) 102-9324;Ozella38@gmail.com;51423;true
3;Canyon HDD;Table Small Frozen Sausages Planner;330-026-2461 x64801;Giovanna66@hotmail.com;75536;false
4;Costa Rica Mayotte;Industrial;749-389-5793 x05150;Eric_Sporer@hotmail.com;27134;true
5;Louisiana Specialist Home Loan Account;Plastic;100-947-3120 x08177;Patsy.Russel@hotmail.com;92630;false
6;Frozen IB;Highway Ergonomic;363.675.6285;Geovanny_Carter84@yahoo.com;76078;true
7;Robust Networked;Poland;104-120-8643 x556;Broderick.Friesen@hotmail.com;53984;true
8;User-centric;Money Market Account;(189) 682-6184 x8214;Shaun80@hotmail.com;12208;true
9;support Gorgeous;withdrawal;838-301-5544;Mathilde33@gmail.com;24412;true
10;conglomeration;Oklahoma facilitate;(929) 226-4731;Zoe60@gmail.com;97661;true
